txtFornecedor,vlrLiquido
ASS DOS SERVIDORES DA CAMARA DOS DEPUTADOS,24.94
FRANCISCO COMERCIO DE ALIMENTOS LTDA,60.25
GJ ALIMENTOS EIRELI,70.0
KITAYAMA E BARRETO LTDA - ME,48.4
MKALVES ALIMENTACAO LTDA,30.6
RONALD ROBSON CAMARA CARVALHO EIRELI EPP,181.61
SAUDE COM SABOR COMERCIO VAREJISTA DE ALIMENTOS LTDA,32.0
SKN BAR E LANCHONETE LTDA - EPP,88.7
TAIAMA PLAZA HOTEL LTDA.,84.0
TRIVIAL CONGELADOS LTDA ME,54.45
TRIVIAL CONGELADOS LTDA ME,54.45
TRIVIAL CONGELADOS LTDA ME,67.0
URUGUAYO PARRILLA RESTAURANTE LTDA - ME,121.0
Eva Polyanna Pereira ME,230.0
ILOIR MARTINS DA SILVA,75.0
OF WALTRICK BRANCO,2850.0
SAL ALUGUEL DE CARROS LTDA,2400.0
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,4.6
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,4.6
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,3.3
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,3.3
MORRO DA MESA CONCESSIONARIA S/A.,9.0
MORRO DA MESA CONCESSIONARIA S/A.,9.0
MORRO DA MESA CONCESSIONARIA S/A.,9.0
MORRO DA MESA CONCESSIONARIA S/A.,9.0
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,5.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,5.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,4.1
Rota do Oeste,5.1
Rota do Oeste,5.1
SCAVRTAF-R,25.0
SINDICATO DOS PERMISSIONARIOS DE TAXIS E MOTORISTAS AUXILIARES DO DISTRITO FEDERAL,25.0
Aguatur Paratins Transportes e Turismo LTDA ME,64.83
Cia Aérea - AZUL,1191.42
Cia Aérea - AZUL,404.39
Cia Aérea - AZUL,321.17
Cia Aérea - GOL,979.56
Cia Aérea - TAM,1100.56
AUTO POSTO 305 SUL LTDA,192.02
AUTO POSTO AEROPORTO LTDA,176.42
AUTO POSTO DRACENA LTDA,102.0
AUTO POSTO GOIANAO LTDA - ME,70.0
AUTO POSTO MARTINAO LTDA,68.54
AUTO POSTO SAO CHARBEL LTDA,164.55
AUTO POSTO SAO MARCOS LTDA,74.44
AUTO POSTO XIMIT LTDA - EPP,150.0
BOM CLIMA COM DE COMB E LUBRIF LTDA,200.28
BOM CLIMA COM DE COMB E LUBRIF LTDA,116.97
BOM CLIMA COM DE COMB E LUBRIF LTDA,198.21
BOM CLIMA COM DE COMB E LUBRIF LTDA,139.16
BOM CLIMA COM DE COMB E LUBRIF LTDA,133.06
BOM CLIMA COM DE COMB E LUBRIF LTDA,63.03
BOM CLIMA COM DE COMB E LUBRIF LTDA,195.03
BOM CLIMA COM DE COMB E LUBRIF LTDA,119.19
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,146.68
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,190.66
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,177.29
CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,156.97
COMERCIAL AMAZONIA DE PETROLEO EIRELI,129.39
COMERCIAL AMAZONIA DE PETROLEO EIRELI,189.0
